Mods count: 129
 
                                     jar name                                       |    notes     |           mod id           |            mod name            |         mod version          |                                                                                                                                       mixin configs                                                                                                                                        |              modrinth hash               | curseforge hash
ForgeConfigScreens-v8.0.2-1.20.1-Forge.jar                                          |              | forgeconfigscreens         | Forge Config Screens           | 8.0.2                        |                                                                                                                                                                                                                                                                                            | e727fcba7efe04bc173211ba5cdf49eea768a9a3 | 1334491647     
ftb-chunks-forge-2001.3.8.jar                                                       |              | ftbchunks                  | FTB Chunks                     | 2001.3.8                     | ftbchunks-common.mixins.json                                                                                                                                                                                                                                                               | ee2d0cdac6d2ca31f43da30f76dff8c6bae9d687 | 1758820690     
ftb-library-forge-2001.2.13.jar                                                     |              | ftblibrary                 | FTB Library                    | 2001.2.13                    | ftblibrary-common.mixins.json                                                                                                                                                                                                                                                              | a5427d5ff07eb044144ed0b54308370d88bce17e | 777644732      
geckolib-forge-1.20.1-4.8.4.jar                                                     |              | geckolib                   | GeckoLib 4                     | 4.8.4                        | geckolib.mixins.json                                                                                                                                                                                                                                                                       | 81982cc287f80ffabb2fd36d22cc95e4255c739d | 3690314662     
    /META-INF/jarjar/mclib-20.jar                                                   |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
GlitchCore-forge-1.20.1-0.0.1.1.jar                                                 |              | glitchcore                 | GlitchCore                     | 0.0.1.1                      | glitchcore.mixins.json, glitchcore.forge.mixins.json                                                                                                                                                                                                                                       | bba0b08fe76b28b35243fee53f99d54a18153b53 | 3493694372     
guideme-20.1.15.jar                                                                 |              | guideme                    | GuideME                        | 20.1.15                      | guideme.optional.mixins.json                                                                                                                                                                                                                                                               | 3d432fc99cefcfd17a12635d2d220f09a069f1c7 | 2154667222     
ImmersiveEngineering-1.20.1-10.2.0-183.jar                                          |              | immersiveengineering       | Immersive Engineering          | 1.20.1-10.2.0-183            | immersiveengineering.mixins.json                                                                                                                                                                                                                                                           | b6e403e0e5be1802268be366ad1a7791f07fb793 | 1984535685     
Infectious-forge-1.20.1-1.7.jar                                                     | MCreator mod | infectious                 | Infectious                     | 1.0.0                        |                                                                                                                                                                                                                                                                                            | d44ec48b9131dc2830a7a88fbe733e4228499969 | 3080584993     
insanelib-1.23.4.6.jar                                                              |              | insanelib                  | InsaneLib                      | 1.23.4.6                     | mixins.insanelib.json, mixins.insanelib.refmap.json                                                                                                                                                                                                                                        | cca086a7ff34c4ffadb3caf3e825acb87f7e7322 | 1032289239     
ironchest-1.20.1-14.4.4.jar                                                         |              | ironchest                  | Iron Chests                    | 1.20.1-14.4.4                |                                                                                                                                                                                                                                                                                            | 4b2dd0f581e40f8bd6f6e63b2d84c06dfde2c4eb | 4008180508     
itemphysicguns-1.0.3-7686b43.jar                                                    |              | itemphysicguns             | itemphysicguns                 | 1.0.3                        | itemphysicguns.mixins.json                                                                                                                                                                                                                                                                 | 109c8d57603fe4e1a464c3e4a876eb41ea56d5fd | 2761700421     
kleiders_custom_renderer-7.4.1-forge-1.20.1.jar                                     |              | kleiders_custom_renderer   | Kleiders Custom Renderer       | 7.4.0                        | mixins.kleiders_custom_renderer.json                                                                                                                                                                                                                                                       | 9f0f94ed3dd661b542e92d10aa40c8426117b36c | 3810453319     
kotlinforforge-4.12.0-all.jar                                                       |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            | 962fdb760409d6d71cbf079235f1ca94e3863a22 | 2392977662     
    /META-INF/jarjar/kfflang-4.12.0.jar                                             |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/kfflib-4.12.0.jar                                              |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/kffmod-4.12.0.jar                                              |              | kotlinforforge             | Kotlin For Forge               | 4.12.0                       |                                                                                                                                                                                                                                                                                            |                                          |                
kubejs-forge-2001.6.5-build.26.jar                                                  |              | kubejs                     | KubeJS                         | 2001.6.5-build.26            | kubejs-common.mixins.json, kubejs-forge.mixins.json                                                                                                                                                                                                                                        | 8b0cc9797d4ed00fd2d1002d58960af8b32012ae | 2994552797     
kubejsadditions-forge-4.3.4.jar                                                     |              | kubejsadditions            | KubeJS Addditions (Forge)      | 4.3.4                        |                                                                                                                                                                                                                                                                                            | c2720e589a292d5d168ef71a57f5dc3436db96b1 | 2919309141     
lootjs-forge-1.20.1-2.13.1.jar                                                      |              | lootjs                     | LootJS                         | 1.20.1-2.13.1                | lootjs-forge.mixins.json, lootjs-common.mixins.json                                                                                                                                                                                                                                        | 804deb0bd34d69cad873170642b9d7e47fa0d6ad | 1389353380     
lostcitytacz.jar                                                                    |              | lostcityapoc               | Apocalypse Lost city           | 1.20.1                       |                                                                                                                                                                                                                                                                                            | 73d586ca5334c8379c0d3bb1c609b930fe267aea | 2057431481     
Mekanism-1.20.1-10.4.16.80.jar                                                      |              | mekanism                   | Mekanism                       | 10.4.16                      |                                                                                                                                                                                                                                                                                            | b7f12ae710888b01746507a0aa8cb375f5897158 | 2493616045     
moonlight-1.20-2.16.34-forge.jar                                                    |              | moonlight                  | Moonlight Library              | 1.20-2.16.34                 | moonlight.mixins.json, moonlight-common.mixins.json                                                                                                                                                                                                                                        | 5e20f2f0ce56a534accb32f80853d5a246599a4d | 1757026364     
mrqxs_Slashblade_Core-1.20.1-1.4.1.jar                                              |              | sbr_core                   | mrqx`s Slashblade Core         | 1.4.1                        | sbr_core.playeranimation.mixins.json, sbr_core.mixins.json                                                                                                                                                                                                                                 | 7d37dade14aa1d6abe0beb1f916376529a3e8398 | 3499766548     
mutil-1.20.1-6.3.0.jar                                                              |              | mutil                      | mutil                          | 6.3.0                        |                                                                                                                                                                                                                                                                                            | 29a233bbe5b156f16bfe67e402681a490c843062 | 2618264134     
Patchouli-1.20.1-85-FORGE.jar                                                       |              | patchouli                  | Patchouli                      | 1.20.1-85-FORGE              | patchouli_xplat.mixins.json                                                                                                                                                                                                                                                                | d4614507d6e4c7cb464bba5eca891978272062ef | 1383309397     
Placebo-1.20.1-8.6.3.jar                                                            |              | placebo                    | Placebo                        | 8.6.3                        | placebo.mixins.json                                                                                                                                                                                                                                                                        | e85f53de2e582a79ce25ff1df1e7b5b5fc08440f | 3174429337     
player-animation-lib-forge-1.0.2-rc1+1.20.jar                                       |              | playeranimator             | Player Animator                | 1.0.2-rc1+1.20               | playerAnimator-common.mixins.json                                                                                                                                                                                                                                                          | 16808f94a41d45d8e986b4e4ea6b02ba57fa058a | 2854309810     
pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar                                    |              | pneumaticcraft             | PneumaticCraft: Repressurized  | 6.0.22+mc1.20.1              | mixins.pneumaticcraft.json, mixins.pneumaticcraft.refmap.json                                                                                                                                                                                                                              | cbe2d3c5df7c2770ac59eb6f02489d8917627c03 | 2025326866     
polyeng-forge-0.1.1-1.20.1.jar                                                      |              | polyeng                    | Polymorphic Energistics        | 0.1.1-1.20.1                 | polyeng.mixins.json                                                                                                                                                                                                                                                                        | 4617a4de40edda9a480ea0c33ba03e97d4a3ae1a | 1862397942     
PuzzlesLib-v8.1.33-1.20.1-Forge.jar                                                 |              | puzzleslib                 | Puzzles Lib                    | 8.1.33                       | puzzleslib.common.mixins.json, puzzleslib.forge.mixins.json                                                                                                                                                                                                                                | 285b7c7616971338ccbe0022c9ea0f8ad3036aaf | 3151848185     
    /META-INF/jarjar/puzzlesaccessapi-forge-20.1.1.jar                              |              | puzzlesaccessapi           | Puzzles Access Api             | 20.1.1                       | puzzlesaccessapi.forge.mixins.json, puzzlesaccessapi.common.mixins.json                                                                                                                                                                                                                    |                                          |                
qlmzombie-3.0.0.beta.build84.jar                                                    |              | qlmzombie                  | 七零喵僵尸末日生存mod                   | 3.0.0.beta.build84           | qlmzombie.mixins.json, qlmzombie-thirst.mixins.json                                                                                                                                                                                                                                        | e0576221f6717a435c9132bd9c6922afd175d22c | 595844325      
    /META-INF/jarjar/kfflang-4.12.0.jar                                             |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/kfflib-4.12.0.jar                                              |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/kffmod-4.12.0.jar                                              |              | kotlinforforge             | Kotlin For Forge               | 4.12.0                       |                                                                                                                                                                                                                                                                                            |                                          |                
Quark-4.0-462.jar                                                                   |              | quark                      | Quark                          | 4.0-462                      | quark.mixins.json, quark_integrations.mixins.json, quark.mixins.refmap.json                                                                                                                                                                                                                | 9b0fb82995622a0070c00827c698c43b49d9d14b | 4061553554     
refinedpolymorph-0.1.1-1.20.1.jar                                                   |              | refinedpolymorph           | Refined Polymorphism           | 0.1.1-1.20.1                 | refinedpolymorph.mixins.json                                                                                                                                                                                                                                                               | 6268974fcb84a01d52b70a78232c2bd6f2a450f8 | 2414262943     
rekindledcombat-forge-2.0.0+1.20.1.jar                                              |              | bettercombat               | Rekindled Combat               | 1.8.6+1.20.1                 | bettercombat.mixins.json                                                                                                                                                                                                                                                                   | 0d9d6a5ce7bee6e56ee248b72053a294edbcc4d0 | 1117935399     
SimpleStorageNetwork-1.20.1-1.11.3.jar                                              |              | storagenetwork             | Simple Storage Network         | 1.11.3                       |                                                                                                                                                                                                                                                                                            | b6c56c7651646ac8221b5a0d5f991ae861eb3298 | 3332550991     
sodiumoptionsapi-forge-1.0.10-1.20.1.jar                                            |              | sodiumoptionsapi           | Sodium Options API             | 1.0.10                       | mixins.sodiumoptionsapi.json                                                                                                                                                                                                                                                               | 7529fbf938787ed13a251cbf40936f8c29ec4b6c | 2197810606     
    /META-INF/jars/fabric-api-base-0.4.31+ef105b4977.jar                            |              | fabric_api_base            | Fabric API Base                | 0.4.31+ef105b4977            | fabric-api-base.init.mixins.json                                                                                                                                                                                                                                                           |                                          |                
spartantoolkit-1.20.1-1.6.1.jar                                                     |              | spartantoolkit             | Spartan Weaponry Addon Toolkit | 1.20.1-1.6.1                 | spartantoolkit.mixins.json                                                                                                                                                                                                                                                                 | 46c73554ce8282057824fae275f4f0cb0220c029 | 2360841005     
StorageDrawers-forge-1.20.1-12.14.3.jar                                             |              | storagedrawers             | Storage Drawers                | 12.14.3                      |                                                                                                                                                                                                                                                                                            | cc29c29286d2df67829af4af4821dfe7436b65a5 | 638982493      
tacz-1.20.1-1.1.8-hotfix.jar                                                        |              | tacz                       | Timeless & Classics Guns: Zero | 1.1.8-hotfix                 | tacz.compat.acceleratedrendering.mixins.json, tacz.mixins.json                                                                                                                                                                                                                             | bddafeea4c9c1132ed720c30fbaedfe5ab25e846 | 969230376      
    /META-INF/jarjar/simplebedrockmodel-2.2.2-forge+mc1.20.1.jar                    |              | simplebedrockmodel         | SimpleBedrockModel             | 2.2.2-forge+mc1.20.1         | simplebedrockmodel.mixins.json                                                                                                                                                                                                                                                             |                                          |                
        /META-INF/jarjar/mae-1.1.2.jar                                              |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/commons-math3-3.6.1.jar                                        |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/luaj-core-3.0.8-figura.jar                                     |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/luaj-jse-3.0.8-figura.jar                                      |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/bcel-6.6.1.jar                                                 |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
taczjs-forge-1.4.2+mc1.20.1.jar                                                     |              | taczjs                     | TaCZ JS                        | 1.4.2+mc1.20.1               | taczjs.forge.mixins.json                                                                                                                                                                                                                                                                   | a88747278d2dc39ef9061f414865bfdb694276d3 | 2389009831     
tetra-1.20.1-6.15.0.jar                                                             |              | tetra                      | tetra                          | 6.15.0                       | tetra.mixins.json                                                                                                                                                                                                                                                                          | 321c4e8b887d283e00822f30e8655ce8b88ab4e8 | 2803515800     
thermal_foundation-1.20.1-11.0.6.70.jar                                             |              | thermal_foundation         | Thermal Foundation             | 11.0.6                       |                                                                                                                                                                                                                                                                                            | 7c1fbd79c9bda7478560faa886eaadf0dd8d181f | 2161569538     
    /META-INF/jarjar/thermal_core-1.20.1-11.0.6.24.jar                              |              | thermal                    | Thermal Series                 | 11.0.6                       |                                                                                                                                                                                                                                                                                            |                                          |                
wthit-1.20.1-forge-8.21.1.jar                                                       |              | wthit                      | wthit                          | 8.21.1                       | wthit.mixins.json                                                                                                                                                                                                                                                                          | ca48376129cea6913aa619aa181943f01e599cda | 1294253917     
YungsApi-1.20-Forge-4.0.6.jar                                                       |              | yungsapi                   | YUNG's API                     | 1.20-Forge-4.0.6             | yungsapi.mixins.json, yungsapi_forge.mixins.json                                                                                                                                                                                                                                           | af584b690f5646c6032002b58abc4591beed3833 | 2072489450     
zac-1.1.0.jar                                                                       |              | zac                        | Zombie Apocalyse Core          | 1.1.0                        |                                                                                                                                                                                                                                                                                            | 458f47a85308040ffdffb83b501f28dae1df9f21 | 3052034050     
Zeta-1.0-31.jar                                                                     |              | zeta                       | Zeta                           | 1.0-31                       | zeta.mixins.json, zeta.mixins.refmap.json, zeta_forge.mixins.json                                                                                                                                                                                                                          | 8c4a8ef0444b53ff408d5b89126285031081d92f | 2553435270     
Zombie Island 1.20.1 0.1.3.5.jar                                                    |              | zombie_island              | Zombie_Island                  | 0.1.3.5                      |                                                                                                                                                                                                                                                                                            | 34034ff7569319b0e14ba45c236a397102b6afc5 | 532103813      
