Mods count: 129
 
                                     jar name                                       |    notes     |           mod id           |            mod name            |         mod version          |                                                                                                                                       mixin configs                                                                                                                                        |              modrinth hash               | curseforge hash
[应用能源2] appliedenergistics2-forge-15.4.10.jar                                       |              | ae2                        | Applied Energistics 2          | 15.4.10                      | ae2.mixins.refmap.json, ae2.mixins.json                                                                                                                                                                                                                                                    | ac255a120499f79f8deade474da09e3c00ff9bad | 3615341742     
[拆解台] uncrafting_table-1.20.1-forge-1.1.0.jar                                       |              | uncrafting_table           | 拆解台                            | 1.1.0                        |                                                                                                                                                                                                                                                                                            | 70b5c665d91c6ee6782e197f5de6a962ba557c82 | 2672228176     
[拔刀剑：重锋] SlashBladeResharped-1.20.1-1.9.65.jar                                      |              | slashblade                 | Slash Blade:Resharped          | 1.9.65                       | slashblade.mixins.json, slashblade.ar.mixins.json, slashblade.patchouli.mixins.json, slashblade.thetwilightforest.mixins.json, slashblade.emi.mixins.json                                                                                                                                  | a7cf7ac8caad062df8495b50a0a99485c1f36de2 | 260895526      
[搬运] carryon-forge-1.20.1-2.1.2.7.jar                                               |              | carryon                    | Carry On                       | 2.1.2.7                      | carryon.mixins.json, carryon.forge.mixins.json                                                                                                                                                                                                                                             | 9999714ca3dd2f2401f0396ca44f3b27c3784c4f | 1899432453     
[斯巴达之盾] SpartanShields-1.20.1-forge-3.1.1.jar                                       |              | spartanshields             | Spartan Shields                | 3.1.1                        |                                                                                                                                                                                                                                                                                            | 2d1c99c2a5c6116ed17be0ac3cb223a2f46636e8 | 3816569768     
[斯巴达的武器] SpartanWeaponry-1.20.1-forge-3.2.1-all.jar                                 |              | spartanweaponry            | Spartan Weaponry               | 3.2.1                        | spartanweaponry.mixins.json, spartanweaponry.mixins.refmap.json                                                                                                                                                                                                                            | 187977cf09972df5773c92b8af5fd342a9d726cb | 239651359      
[旅人标题] TravelersTitles-1.20-Forge-4.0.2.jar                                         |              | travelerstitles            | Traveler's Titles              | 1.20-Forge-4.0.2             | travelerstitles_forge.mixins.json, travelerstitles.mixins.json                                                                                                                                                                                                                             | 64a435eaa6e08fff5af2c720c3b6a40fe292f2f7 | 4191736142     
[旅行地图] journeymap-1.20.1-5.10.3-forge.jar                                           |              | journeymap                 | Journeymap                     | 5.10.3                       | journeymap.mixins.json                                                                                                                                                                                                                                                                     | d0bbe7c23049892b154b6417904dd027fb53a37a | 146159728      
[星光] starlight-1.1.2+forge.1cda73c.jar                                              |              | starlight                  | Starlight                      | 1.1.2+forge.1cda73c          | starlight.mixins.json                                                                                                                                                                                                                                                                      | a915880c7834a0b0f9f300f0e3053deaa9a3205a | 3834769597     
[是，史蒂夫模型] ysm-2.6.5-forge+mc1.20.1-release.jar                                      |              | yes_steve_model            | Yes Steve Model                | 2.6.5-forge+mc1.20.1         | yes_steve_model.mixins.json                                                                                                                                                                                                                                                                | 151ac7b24da8beeca1a20864565743cfd77af286 | 3221161086     
[末日生存工具包] Zombie Survival Kit-1.20.1-forge-2.1.8.jar                                |              | zombiekit                  | Zombie Survival Kit            | 2.1.8                        | zombiekit.mixins.json                                                                                                                                                                                                                                                                      | 2a4c3421fc4ab5c79eb35d8c6dcff12e8ac7eb29 | 705483313      
[森罗厨房：乐此不疲] Kaleidoscope Texture Expansion-Forge-1.20.1-2.12.0.jar                  |              | soup_pot_texture_expansion | 森罗厨房：乐此不疲                      | 2.12.0                       |                                                                                                                                                                                                                                                                                            | cfba48000681fd229a545348ea5313d449314cc4 | 1269007240     
[森罗厨房：国味] kaleidoscope_chinesefood-1.1.9-1.20.1-fix-all.jar                         |              | kaleidoscope_chinesefood   | Kaleidoscope ChineseFood       | 1.1.9-1.20.1-fix             | mixins.kaleidoscope_chinesefood.json                                                                                                                                                                                                                                                       | 5baf7a53a57110b7a20e1f412078a84a2792c69f | 1112567937     
[森罗物语：兼容] kaleidoscope_compat-2.6.5-forge+mc1.20.1.jar                              |              | kaleidoscope_compat        | Kaleidoscope Compat            | 2.6.5-forge+mc1.20.1         | kaleidoscope_compat.mixins.json, kaleidoscope_compat.mixins.refmap.json                                                                                                                                                                                                                    | b059217831d8c8f16ccda3df97c5eca676e9418a | 3144078505     
[森罗物语：动态结构] kaleidoscope_contraption-1.0.2.jar                                      |              | kaleidoscope_contraption   | Kaleidoscope Contraption       | 1.0.2                        | kaleidoscope_contraption_cookery.mixins.json, kaleidoscope_contraption_tavern.mixins.json, kaleidoscope_contraption.mixins.json                                                                                                                                                            | 042578c2f067562d153b85d8069d351afde412b9 | 201661871      
[森罗物语：厨房] kaleidoscopecookery-1.4.1-forge+mc1.20.1.jar                              |              | kaleidoscope_cookery       | Kaleidoscope Cookery           | 1.4.1-forge+mc1.20.1         | kaleidoscope_cookery.mixins.json                                                                                                                                                                                                                                                           | 21dbbe0e97966b38bbfd5a45287d7f463dfe0436 | 3375281231     
[森罗物语：酒馆] kaleidoscopetavern-1.2.0-forge+mc1.20.1.jar                               |              | kaleidoscope_tavern        | Kaleidoscope Tavern            | 1.2.0-forge+mc1.20.1         | kaleidoscope_tavern.mixins.json                                                                                                                                                                                                                                                            | 2e8f6370fb4acae9796705b6e84716c4a398b9c5 | 2841580089     
[森罗酒馆：世界名酒] kaleidoscope_world_liquor-1.1.10-forge+mc1.20.1-all.jar                 |              | kaleidoscope_world_liquor  | Kaleidoscope World Liquor      | 1.1.10-forge+mc1.20.1        | mixins.kaleidoscope_world_liquor.json, mixins.kaleidoscope_world_liquor.create.json                                                                                                                                                                                                        | dae8ef427322d0c76e3e5a89cdfc97de1e429d60 | 2327143172     
[物品物理掉落] ItemPhysic_FORGE_v1.8.13_mc1.20.1.jar                                      |              | itemphysic                 | ItemPhysic                     | 1.8.13                       | itemphysic.mixins.json, itemphysic.mixin.refmap.json                                                                                                                                                                                                                                       | 237b611a44d3397a514825945e7137f153916237 | 3816404811     
[犀牛] rhino-forge-2001.2.3-build.10.jar                                              |              | rhino                      | Rhino                          | 2001.2.3-build.10            | rhino-common.mixins.json                                                                                                                                                                                                                                                                   | c83c9b719a6bab33fbd2b3f2f680eb3adbfc1aa1 | 1432081092     
[玩家救援] PlayerRevive_FORGE_v2.0.31_mc1.20.1.jar                                      |              | playerrevive               | PlayerRevive                   | 2.0.31                       | playerrevive.mixins.json, playerrevive.mixin.refmap.json                                                                                                                                                                                                                                   | 84c039f20b8f048c835c429c2c4a9fd82a5e65f6 | 2650963389     
[现代化修复] modernfix-forge-5.27.58+mc1.20.1.jar                                        |              | modernfix                  | ModernFix                      | 5.27.58+mc1.20.1             | modernfix-modernfix.mixins.json                                                                                                                                                                                                                                                            | dd78e4110f40fa2c072cc6c1b3d8a06af906cf00 | 3498320800     
[真正的力量] True_POWER-1.20.1-1.1.8.jar                                                 |              | truepower                  | True POWER                     | 1.1.8                        | truepower.mixins.json                                                                                                                                                                                                                                                                      | 9dba4c92a552e63f06a8065f26ff3e66132c9f04 | 4174298327     
[精妙核心] sophisticatedcore-1.20.1-1.3.65.2126.jar                                     |              | sophisticatedcore          | Sophisticated Core             | 1.3.65.2126                  | sophisticatedcore.mixins.json, sophisticatedcore.create.mixins.json                                                                                                                                                                                                                        | 719eb6b0b1d5e677af0dfc57df8ddfae5b9485e9 | 524953849      
[精妙背包] sophisticatedbackpacks-1.20.1-3.24.59.1960.jar                               |              | sophisticatedbackpacks     | Sophisticated Backpacks        | 3.24.59.1960                 | sophisticatedbackpacks.mixins.json                                                                                                                                                                                                                                                         | c2982089001508ecba463a28c768c39ed004603c | 3615057103     
